Kode Toko,NAMA TOKO,OPENING,"UMUR TOKO
(TAHUN)",JARAK TEMPUH,"WAKTU TEMPUH
(HARI:JAM:MENIT)",KATEGORI WILAYAH,KELURAHAN,KECAMATAN,KAB/KOTA,KODE POS,KOORDINAT GPS
FTAU,ION MARTASASMITA RANCASARI,17-Agu-23,2,"53,5",0 hari 0 jam 58 menit,Menengah,RANCASARI,PAMANUKAN,SUBANG,41254,"-6.309494, 107.821460"
FTZA,CIREMAI,30-Agu-23,2,"63,5",0 hari 1 jam 9 menit,Menengah,KAYURINGIN JAYA,BEKASI SELATAN,KOTA BEKASI,17144,"-6.240872, 106.991544"
T0VL,SALAM JAYA,1-Sep-23,2,"29,4",0 hari 0 jam 32 menit,DK,SALAMJAYA,PABUARAN,SUBANG,41262,"-6.418303, 107.605114"
FO4B,CALESTA RESIDENCE,30-Sep-23,2,"68,9",0 hari 1 jam 15 menit,Menengah,KARANG SENTOSA,KARANG BAHAGIA,BEKASI,17535,"-6.198053, 107.182269"
FJAX,MUTIARA COLOMBUS,9-Okt-23,2,"62,2",0 hari 1 jam 8 menit,Menengah,CIMUNING,MUSTIKAJAYA,KOTA BEKASI,17155,"-6.325731, 107.030722"
TSVL,APARTEMEN CENTER POINT A,21-Des-23,2,63,0 hari 1 jam 9 menit,Menengah,MARGAJAYA,BEKASI SELATAN,KOTA BEKASI,17141,"-6.243886, 106.993425"
F2PL,GREEN HARMONY RESIDENCE,23-Des-23,2,"29,4",0 hari 0 jam 32 menit,DK,PASIRJENGKOL,MAJALAYA,KARAWANG,41370,"-6.309514, 107.344422"
TIKW,PERMATA NUSA INDAH,30-Des-23,2,"62,3",0 hari 1 jam 8 menit,Menengah,MUKTIWARI,CIBITUNG,BEKASI,17520,"-6.228281, 107.100567"
TWEI,CITALANG 01,30-Des-23,2,"14,8",0 hari 0 jam 16 menit,DK,MUNJULJAYA,PURWAKARTA,PURWAKARTA,41117,"-6.532581, 107.466497"
FQRI,VICTORIA ASRI,30-Jan-24,2,"62,3",0 hari 1 jam 8 menit,Menengah,MUKTIWARI,CIBITUNG,BEKASI,17520,"-6.226186, 107.093783"
F7Z1,BUANA KOTA BARU RAYA,17-Mar-24,2,"9,3",0 hari 0 jam 10 menit,DK,PANGULAH UTARA,KOTA BARU,KARAWANG,41374,"-6.399344, 107.497558"
TMZ7,APARTMENT MUTIARA BEKASI,30-Mar-24,2,63,0 hari 1 jam 9 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,"-6.251147, 106.990958"
TV24,CBD ORCHID,30-Mar-24,2,"67,5",0 hari 1 jam 14 menit,Menengah,RAGEMANUNGGAL,SETU,BEKASI,41215,"-6.382850, 107.021592"
F31E,AHMAD YANI 71,27-Mei-24,2,"16,8",0 hari 0 jam 18 menit,DK,CIPAISAN,PURWAKARTA,PURWAKARTA,41113,"-6.548794, 107.439214"
TFMM,VILLA KARAWANGI,31-Mei-24,1,"25,6",0 hari 0 jam 28 menit,DK,CIBALONG SARI,KLARI,KARAWANG,41371,"-6.355017, 107.369136"
TRW5,ORCHAD AVENUE,13-Jul-24,1,"67,8",0 hari 1 jam 14 menit,Menengah,LAMBANGSARI,TAMBUN SELATAN,BEKASI,17510,"-6.2925141, 107.057073"
TBQT,KH DEWANTARA SUBANG,22-Agu-24,1,"47,8",0 hari 0 jam 52 menit,Menengah,DANGDEUR,SUBANG,SUBANG,41212,"-6.555325, 107.752072"
FOFV,WANAYASA TIMUR,31-Agu-24,1,49,0 hari 0 jam 53 menit,Menengah,WANAYASA,WANAYASA,PURWAKARTA,41174,"-6.681794, 107.562014"
FXIT,POINT REST AREA KM 97-2,10-Sep-24,1,"86,7",0 hari 1 jam 35 menit,Menengah,SADARKARYA,DARANGDAN,PURWAKARTA,41163,"-6.675314, 107.438711"
TQ99,BENGLE MAJALAYA,18-Sep-24,1,"27,3",0 hari 0 jam 30 menit,DK,BENGLE,MAJALAYA,KARAWANG,41370,"-6.329394, 107.358000"
F8HM,GRAHA ASRI RESIDENCE 3,24-Sep-24,1,"29,3",0 hari 0 jam 32 menit,DK,BENGLE,MAJALAYA,KARAWANG,41370,"-6.317509, 107.360707"
FHEI,RAYA GRAHA MUSTIKA MEDIA,25-Okt-24,1,"57,6",0 hari 1 jam 3 menit,Menengah,LUBANG BUAYA,SETU,BEKASI,17320,"-6.322711, 107.051122"
F97N,TAMAN MODERN,30-Nov-24,1,"69,2",0 hari 1 jam 16 menit,Menengah,SETIALAKSANA,CABANGBUNGIN,BEKASI,17720,"-6.085692, 107.176467"
TKLH,GRIYA FAMILY 4,30-Nov-24,1,"66,4",0 hari 1 jam 13 menit,Menengah,SARIMUKTI,CIBITUNG,BEKASI,17520,"-6.199541, 107.080893"
FVOG,POINT REST AREA KM 57 - 2,16-Des-24,1,"24,8",0 hari 0 jam 27 menit,DK,GINTUNG KERTA,KLARI,KARAWANG,41371,"-6.367156, 107.361139"
FDAS,VETERAN 6,19-Des-24,1,"12,8",0 hari 0 jam 14 menit,DK,CISEUREUH,PURWAKARTA,PURWAKARTA,41118,"-6.518164, 107.449267"
T4PX,POINT STASIUN KCJB KARAWANG,24-Des-24,1,"37,8",0 hari 0 jam 41 menit,DK,WANAKERTA,TELUKJAMBE,KARAWANG,41361,"-6.364139, 107.219694"
FO2J,PAKU HAJI,26-Des-24,1,"79,2",0 hari 1 jam 27 menit,Menengah,PAKUHAJI,CISALAK,SUBANG,41283,"-6.740258, 107.794350"
F1SL,HM JOYO MARTONO,27-Des-24,1,"59,3",0 hari 1 jam 5 menit,Menengah,MARGAHAYU,BEKASI TIMUR,KOTA BEKASI,17113,"-6.252422, 107.023408"
TVP5,RAYA RAWAMULYA,30-Des-24,1,"61,6",0 hari 1 jam 7 menit,Menengah,MUSTIKA JAYA,MUSTIKAJAYA,KOTA BEKASI,17158,"-6.289350, 107.022331"
TY9J,LETJEND S PARMAN,30-Des-24,1,"47,8",0 hari 0 jam 52 menit,Menengah,PASIR KAREUMBI,SUBANG,SUBANG,41211,"-6.573256, 107.761992"
T0PV,GRAND TAMANSARI,31-Des-24,1,"61,5",0 hari 1 jam 7 menit,Menengah,TAMANSARI,SETU,BEKASI,17320,"-6.356697, 107.027600"
FEEK,CISALAK,16-Mar-25,1,"73,8",0 hari 1 jam 21 menit,Menengah,SUKAKERTI,CISALAK,SUBANG,41283,"-6.716339, 107.762564"
TBIX,APT MAHOGANY,30-Apr-25,1,"29,8",0 hari 0 jam 32 menit,DK,MARGAKAYA,TELUKJAMBE BARAT,KARAWANG,41361,"-6.339275, 107.270683"
TEXB,RAYA CIGELAM,20-Mei-25,1,"11,9",0 hari 0 jam 13 menit,DK,CIGELAM,BABAKAN CIKAO,PURWAKARTA,41181,"-6.489442, 107.450653"
TMOG,RAYA TAMAN RAHAYU 201,20-Jun-25,0,"71,6",0 hari 1 jam 18 menit,Menengah,CIKETINGUDIK,BANTAR GEBANG,KOTA BEKASI,17153,-6.3605 106.98891667
FK1X,RANCABANGO,16-Jul-25,0,"33,9",0 hari 0 jam 37 menit,DK,RANCABANGO,PATOKBEUSI,SUBANG,41285,"-6.361531, 107.660658"
T6OI,MASHUDI WANCIMEKAR,11-Agu-25,0,"10,8",0 hari 0 jam 11 menit,DK,WANCIMEKAR,KOTA BARU,KARAWANG,41376,"-6.397383, 107.474686"
F5JM,POINT REST AREA KM 101-2,25-Agu-25,0,"51,5",0 hari 0 jam 56 menit,Menengah,BATUSARI,DAWUAN,SUBANG,41270,"-6.509839, 107.718964"
T4IH,GRAND TARUMA 11-12,27-Agu-25,0,"33,1",0 hari 0 jam 36 menit,DK,SUKAMAKMUR,TELUKJAMBE TIMUR,KARAWANG,41360,"-6.307089, 107.277881"
T4IR,KK SINGAWINATA 72,30-Agu-25,0,"17,5",0 hari 0 jam 19 menit,DK,NAGRIKALER,PURWAKARTA,PURWAKARTA,41114,"-6.553964, 107.445722"
F9EX,KAPEK SUKAMULYA,20-Sep-25,0,"50,8",0 hari 0 jam 55 menit,Menengah,PANGSOR,PAGADEN BARAT,SUBANG,41252,"-6.463758, 107.809600"
TL9G,WARUNG JERUK,29-Sep-25,0,"42,8",0 hari 0 jam 47 menit,Menengah,WARUNG JERUK,TEGALWARU,PURWAKARTA,41111,"-6.656558, 107.322228"
TREJ,BUMI KAHURIPAN INDAH D-1,10-Okt-25,0,"65,5",0 hari 1 jam 12 menit,Menengah,SUKAHURIP,SUKATANI,BEKASI,17630,"-6.212310546169437, 107.1557814051439"
TNV6,KAMPUNG SILUMAN,12-Okt-25,0,"16,7",0 hari 0 jam 18 menit,DK,SILUMAN,PABUARAN,SUBANG,41262,"-6.417239, 107.557986"
FML6,KH ABU BAKAR 69,25-Okt-25,0,"56,2",0 hari 1 jam 1 menit,Menengah,SETIADARMA,TAMBUN SELATAN,BEKASI,17510,"-6.266206, 107.055372"
FJFS,BEKASI TIMUR REGENCY 3,8-Nov-25,0,"63,6",0 hari 1 jam 9 menit,Menengah,CIMUNING,MUSTIKAJAYA,KOTA BEKASI,17155,"-6.323700, 107.015058"
FNVE,SUBANG GREEN CITY,25-Nov-25,0,"47,8",0 hari 0 jam 52 menit,Menengah,CINANGSI,CIBOGO,SUBANG,41287,"-6.55889404, 107.80572269"
TQD5,PANGKALAN 6,26-Nov-25,0,"66,8",0 hari 1 jam 13 menit,Menengah,CIKETINGUDIK,BATAR GEBANG,KOTA BEKASI,17111,"-6.356981, 106.984506"
TXPZ,APT TAMAN SARI ISWARA,27-Nov-25,0,"64,9",0 hari 1 jam 11 menit,Menengah,SEPANJANG,RAWA LUMBU,KOTA BEKASI,17114,"-6.261167, 106.996250"
T30O,POINT STASIUN TAMBUN,27-Nov-25,0,"59,1",0 hari 1 jam 5 menit,Menengah,MEKARSARI,TAMBUN SELATAN,BEKASI,41287,"-6.258983, 107.05606"
TRTZ,OTISTA 08,30-Nov-25,0,"43,8",0 hari 0 jam 48 menit,Menengah,SUKAMELANG,SUBANG,SUBANG,41211,"-6.543028, 107.778935"
TICQ,POINT LAGOON AVANUE,31-Des-25,0,"65,5",0 hari 1 jam 12 menit,Menengah,PEKAYONJAYA,BEKASI SELATAN,KOTA BEKASI,17148,"-6.250600, 106.978522"
TXDK,RUKO GOODLAND 1-3,31-Des-25,0,"61,7",0 hari 1 jam 7 menit,Menengah,DUREN JAYA,BEKASI TIMUR,KOTA BEKASI,17111,"-6.234667, 107.024528"
FHWH,GRAN HARMONI,28-Feb-26,0,"67,7",0 hari 1 jam 14 menit,Menengah,MUKTIJAYA,CIBITUNG,BEKASI,17520,"-6.20631906, 107.08647374"
TTL7,CITRA SWARNA GRANDE 26-28,28-Feb-26,0,19,0 hari 0 jam 20 menit,DK,PANCAWATI,KLARI,KARAWANG,41371,"-6.364964, 107.383789"
FRN0,POINT REST AREA KM 62-3,10-Des-25,0,"12,2",0 hari 0 jam 13 menit,DK,MEKARJAYA,PURWASARI,KARAWANG,41377,"-6.388763, 107.39467"
FFZC,GRAND KOTA BINTANG,16-Des-25,0,"67,2",0 hari 1 jam 13 menit,Menengah,JAKASAMPURNA,BEKASI BARAT,KOTA BEKASI,17145,"-6.247006, 106.957281"
TJDB,TELAGA HARMONI 1-3,19-Des-25,0,"53,2",0 hari 0 jam 58 menit,Menengah,SUKASARI,SERANG BARU,BEKASI,17330,"-6.379341, 107.10374"
TPZW,MUSTIKA JAYA 5674,27-Des-25,0,"58,1",0 hari 1 jam 3 menit,Menengah,MUSTIKAJAYA,MUSTIKAJAYA,KOTA BEKASI,17157,"-6.291736, 107.031586"
TJFC,MANDOR DEMONG,27-Des-25,0,"63,8",0 hari 1 jam 10 menit,Menengah,MUSTIKAJAYA,MUSTIKAJAYA,KOTA BEKASI,17158,"-6.301511, 107.007967"
FL7B,GESYA COMMERCE,30-Des-25,0,"57,1",0 hari 1 jam 2 menit,Menengah,JAYASAMPURNA,SERANG BARU,BEKASI,17330,"-6.38963434, 107.07430232"
FG28,PESONA KAHURIPAN 8,31-Des-25,0,"70,8",0 hari 1 jam 17 menit,Menengah,MUKTIJAYA,SETU,BEKASI,17320,"-6.409543, 107.028713"
FVQ4,PERMATA NUSA INDAH JAYAMULYA,19-Feb-26,0,"60,2",0 hari 1 jam 6 menit,Menengah,JAKAMULYA,SERANG BARU,BEKASI,17330,"-6.404517, 107.057203"
FN9X,RUKO MAHOGANY,18-Mar-26,0,"29,8",0 hari 0 jam 32 menit,DK,MARGAKAYA,TELUKJAMBE BARAT,KARAWANG,41361,"-6.339689698021678, 107.27132003435996"
T5U9,BATANGSARI,17-Apr-26,0,"43,7",0 hari 0 jam 48 menit,Menengah,BATANGSARI,SUKASARI,SUBANG,41254,"-6.298972, 107.754694"
T1VP,OTISTA 47,24-Apr-26,0,"46,9",0 hari 0 jam 51 menit,Menengah,KARANGANYAR,SUBANG,SUBANG,41211,"-6.565750, 107.765000"
TTD2,MT HARYONO 31,16-Apr-26,0,"61,2",0 hari 1 jam 7 menit,Menengah,BURANGKENG,SETU,BEKASI,17320,"-6.349222, 107.032047"
TEU7,RAYA WANTILAN,21-Apr-26,0,"27,3",0 hari 0 jam 30 menit,DK,DESA CIPENDEUY,CIPEUNDEUY,SUBANG,41272,"-6.493444, 107.589639"
TSNI,RAYA SERANG CIBARUSAH,16-Mei-26,0,"55,8",0 hari 1 jam 1 menit,Menengah,SUKARAGAM,SERANG BARU,BEKASI,17330,"-6.401136, 107.098178"
THS6,SUKAMANAH SUKATANI,22-Mei-26,0,"59,8",0 hari 1 jam 5 menit,Menengah,SUKAMANAH,SUKATANI,BEKASI,17630,"-6.195253, 107.171233"
T5Z2,JAYAKERTA,28-Mei-26,BARU,"56,7",0 hari 1 jam 2 menit,Menengah,MEDANG ASEM,JAYAKARTA,KARAWANG,41352,"-6.109092, 107.267183"
TNI8,RAYA DAWUAN SUBANG,29-Mei-26,BARU,"42,5",0 hari 0 jam 46 menit,Menengah,SUKASARI,DAWUAN,SUBANG,41271,"-6.544478, 107.729839"
T5O2,KARAWANG FESTIVAL,31-Mei-26,BARU,"35,1",0 hari 0 jam 38 menit,DK,PURWADANA,TELUKJAMBE TIMUR,KARAWANG,41361,"-6.299422, 107.280572"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
